"Date","Price","Open","High","Low","Change %"
"08/10/2023","4.107","4.009","4.113","3.957","2.27%"
"08/09/2023","4.016","4.012","4.044","3.988","-0.30%"
"08/08/2023","4.028","4.089","4.089","3.984","-1.67%"
"08/07/2023","4.097","4.050","4.123","4.046","1.36%"
"08/04/2023","4.042","4.179","4.206","4.038","-3.29%"
"08/03/2023","4.179","4.086","4.198","4.082","2.19%"
"08/02/2023","4.090","4.013","4.126","4.009","1.30%"
"08/01/2023","4.037","3.965","4.057","3.949","1.77%"
"07/31/2023","3.967","3.963","4.003","3.927","0.26%"
"07/28/2023","3.957","4.014","4.043","3.939","-1.14%"
"07/27/2023","4.002","3.877","4.024","3.839","3.34%"
"07/26/2023","3.873","3.898","3.904","3.847","-0.45%"
"07/25/2023","3.890","3.876","3.922","3.857","0.31%"
"07/24/2023","3.878","3.847","3.878","3.792","1.08%"
"07/21/2023","3.837","3.850","3.861","3.809","-0.50%"
"07/20/2023","3.856","3.754","3.874","3.746","2.88%"
"07/19/2023","3.748","3.789","3.797","3.727","-1.08%"
"07/18/2023","3.789","3.805","3.809","3.734","-0.51%"
"07/17/2023","3.809","3.815","3.836","3.772","-0.56%"
"07/14/2023","3.830","3.777","3.836","3.760","1.67%"
"07/13/2023","3.767","3.859","3.865","3.757","-2.43%"
"07/12/2023","3.861","3.962","3.970","3.844","-2.93%"
"07/11/2023","3.978","4.000","4.008","3.950","-0.55%"
"07/10/2023","4.000","4.062","4.092","3.986","-1.62%"
"07/07/2023","4.066","4.031","4.094","4.006","0.86%"
"07/06/2023","4.031","3.938","4.083","3.930","2.48%"
"07/05/2023","3.934","3.841","3.947","3.831","2.47%"
"07/04/2023","3.839","3.854","3.878","3.839","-0.51%"
"07/03/2023","3.858","3.845","3.868","3.778","0.46%"
"06/30/2023","3.841","3.838","3.892","3.803","-0.04%"
"06/29/2023","3.842","3.714","3.868","3.712","3.46%"
"06/28/2023","3.714","3.762","3.770","3.704","-1.54%"
"06/27/2023","3.772","3.719","3.776","3.692","1.31%"
"06/26/2023","3.723","3.721","3.737","3.679","-0.36%"
"06/23/2023","3.737","3.787","3.799","3.692","-1.58%"
"06/22/2023","3.797","3.727","3.810","3.711","1.88%"
"06/21/2023","3.727","3.732","3.791","3.711","0.21%"
"06/20/2023","3.719","3.824","3.826","3.701","-2.69%"
"06/19/2023","3.822","3.760","3.826","3.750","1.45%"
"06/16/2023","3.767","3.718","3.806","3.717","1.26%"
"06/15/2023","3.720","3.790","3.845","3.707","-1.84%"
"06/14/2023","3.790","3.821","3.851","3.771","-0.96%"
"06/13/2023","3.827","3.740","3.845","3.682","2.23%"
"06/12/2023","3.743","3.745","3.794","3.711","0.00%"
"06/09/2023","3.743","3.724","3.780","3.716","0.68%"
"06/08/2023","3.718","3.789","3.821","3.708","-1.99%"
"06/07/2023","3.793","3.668","3.801","3.656","3.15%"
"06/06/2023","3.677","3.685","3.735","3.654","-0.31%"
"06/05/2023","3.689","3.706","3.762","3.658","-0.26%"
"06/02/2023","3.698","3.606","3.700","3.599","2.71%"
"06/01/2023","3.601","3.639","3.689","3.570","-1.25%"
"05/31/2023","3.646","3.694","3.694","3.614","-1.29%"
"05/30/2023","3.694","3.765","3.769","3.681","-1.85%"
"05/29/2023","3.764","3.821","3.827","3.757","-1.44%"
"05/28/2023","3.819","3.817","3.845","3.809","0.24%"
"05/26/2023","3.810","3.817","3.859","3.777","-0.35%"
"05/25/2023","3.823","3.740","3.827","3.730","2.12%"
"05/24/2023","3.744","3.701","3.748","3.667","1.25%"
"05/23/2023","3.698","3.717","3.761","3.688","-0.57%"
